Mods count: 318
 
jar name                                                                       | mod id (isMCreator)                      | mixin configs
create-enchantment-industry-2.2.0.jar                                          | create_enchantment_industry              | create_enchantment_industry.mixins.json
createaddition-1.5.2.jar                                                       | createaddition                           | createaddition.mixins.json
cryonicconfig-neoforge-1.0.0+mc1.21.8.jar                                      | cryonicconfig                            | cryonicconfig.mixins.json
crystalix-1.6.0_neoforge_1.21.1.jar                                            | crystalix                                | 
CTM-1.21-1.2.1+3.jar                                                           | ctm                                      | ctm.mixins.json
Cucumber-1.21.1-8.0.14.jar                                                     | cucumber                                 | cucumber.mixins.json
cupboard-1.21-2.9.jar                                                          | cupboard                                 | cupboard.mixins.json
curios-neoforge-9.5.1+1.21.1.jar                                               | curios                                   | curios.neoforge.mixins.json, curios.mixins.json
cyclopscore-1.21.1-neoforge-1.26.2-808.jar                                     | cyclopscore                              | mixins.cyclopscore.json
darkmodeeverywhere-1.21-1.3.5.jar                                              | darkmodeeverywhere                       | darkmodeeverywhere.mixins.json
Draconic-Evolution-1.21.1-3.1.3.627.jar                                        | draconicevolution                        | mixins.draconicevolution.json
drippyloadingscreen_neoforge_3.0.12_MC_1.21.1.jar                              | drippyloadingscreen                      | drippyloadingscreen.neoforge.mixins.json, drippyloadingscreen.mixins.json
dyenamics-1.21.1-3.4.1.jar                                                     | dyenamics                                | dyenamics.mixin.json
dyenamicsandfriends-1.21.1-2.1.7.jar                                           | dyenamicsandfriends                      | 
EdivadLib-1.21-3.0.0.jar                                                       | edivadlib                                | 
elevatorid-neoforge-1.21.1-1.11.4.jar                                          | elevatorid                               | elevatorid.mixins.json
elytraslot-neoforge-9.0.2+1.21.1.jar                                           | elytraslot                               | elytraslot-integrations.mixins.json
embeddium-1.0.15+mc1.21.1.jar                                                  | embeddium                                | embeddium.mixins.json
enchdesc-neoforge-1.21.1-21.1.8.jar                                            | enchdesc                                 | enchdesc.neoforge.mixins.json, enchdesc.mixins.json
enderio-7.1.8-alpha.jar                                                        | enderio                                  | 
    /META-INF/jarjar/com.enderio.enderio-armory-7.1.8-alpha.jar                | enderio_armory                           | 
    /META-INF/jarjar/com.enderio.enderio-machines-7.1.8-alpha.jar              | enderio_machines                         | enderio-machines.mixins.json
        /META-INF/jarjar/GraphLib3-3.0.5.jar                                   |                                          | 
    /META-INF/jarjar/com.enderio.enderio-conduits-modded-7.1.8-alpha.jar       | enderio_conduits_modded                  | 
    /META-INF/jarjar/com.enderio.enderio-base-7.1.8-alpha.jar                  | enderio_base                             | enderiobase.mixins.json
        /META-INF/jarjar/com.enderio.endercore-7.1.8-alpha.jar                 | endercore                                | 
        /META-INF/jarjar/Regilite-1.21-0.0.4-alpha.jar                         |                                          | 
    /META-INF/jarjar/com.enderio.enderio-conduits-7.1.8-alpha.jar              | enderio_conduits                         | enderioconduits.mixins.json
        /META-INF/jarjar/GraphLib3-3.0.5.jar                                   |                                          | 
